,full_text,created_at
171,@idextratime Info jadwal Mahfud MD vs DPR donk?,2023-03-29 05:45:45+00:00
172,"Terbukti, Rakyat Indonesia lebih mendukung Pak Mahfud MD! Daripada lembaga yang katanya Wakil Rakyat #mahfudmd
#DPR
https://t.co/hFcyxFkqjb",2023-04-02 17:17:48+00:00
173,"Debat Panas Arteria VS Benny, Buntut Mahfud MD Sebut DPR ""Markus""
#ArteriaDahlan #MahfudMD #PDIPerjuangan #DPR #menkeu #SriMulyani #kompastvbandung

https://t.co/4EGk7sOCOG https://t.co/721zm1IPBi",2023-03-29 16:54:02+00:00
174,"Fix gue trust issue sama pemerintah, yang mau nyalonin di next election , dsb. Lihat Indonesia gagal jadi tuan rumah gegara PKS.PDIP. Ganjar,dsb yang kor-koar kontra sama timnas Israel. Apalagi tadi tonton sekilas debat Mahfud MD vs komisi 3 DPR kayak ga masuk argumen DPR.",2023-03-29 16:36:45+00:00
175,"Mahfud MD: Ada anggota DPR jadi Makelar Kasus, marah2 dan menitip suatu kasus ke Jaksa Agung. DPR minta Mahfud sebutkan nama anggota DPR yg jadi markus tsb.
@KepaArgawinata2 @bebek_NKRI
@Danki_Cebong @cokymarbun @Hangudi_L @BoyMantouw @bbh_oldy @wwleebest https://t.co/lzJlNQJIwD",2023-03-29 17:19:30+00:00
176,"Laga Panas Mahfud Md vs Trio Keras anggota Komisi III DPR Fraksi Partai Demokrat Benny K Harman, Fraksi PPP Arsul Sani, dan Fraksi PDIP Arteria Dahlan
https://t.co/4gpGkzBH7J",2023-03-29 23:51:12+00:00
177,MahfudMD vs DPR 5-0 Tuntaskan KKB Papua Baku Tipu - YouTube https://t.co/Grw3enjKoU https://t.co/NSWDXZ8M7K,2023-04-01 07:44:52+00:00
178,Solo vs Squad #MahfudMD #DPR #TPPU https://t.co/DN7qDg2R4j,2023-03-29 15:49:55+00:00
179,Link Streaming Rapat Mahfud MD VS Komisi III DPR RI Bahas Transaksi Mencurigakan https://t.co/OJJko1pYny,2023-03-29 08:53:12+00:00
180,VIDEO: Rapat Panas Mahfud MD Vs Komisi III DPR https://t.co/72225sbuWa,2023-03-31 07:25:07+00:00
181,"Adu kuat data Arteria vs Mahfud bagus tuh biar anggota DPR itu gak banyak omong. https://t.co/bQG2HzjfSp

Anggota Komisi III DPR Arteria Dahlan memastikan hadir saat rapat bersama Mahfud Md pada Rabu (29/3) mendatang. Namun, dia tak berani menerima tantangan Mahfud.",2023-03-26 22:47:08+00:00
182,VIDEO: Rapat Panas Mahfud MD Vs Komisi III DPR https://t.co/X0dY6puwUU,2023-03-31 07:20:35+00:00
183,,2010-01-29 03:55:35+00:00
184,,2009-06-16 10:48:24+00:00
185,,2011-04-26 03:51:54+00:00
186,,2010-01-18 23:38:51+00:00
187,,2020-02-06 14:55:59+00:00
188,,2019-08-02 13:36:47+00:00
189,,2013-01-12 06:33:21+00:00
190,,2019-11-29 12:53:05+00:00
191,,2022-01-26 10:22:53+00:00
192,,2012-04-25 02:02:02+00:00
193,,2017-06-13 17:25:50+00:00
194,,2018-07-01 07:59:19+00:00
195,,2011-03-11 00:41:16+00:00
196,,2022-06-24 10:53:26+00:00
197,,2020-01-22 11:39:51+00:00
198,,2009-07-24 08:23:42+00:00
199,,2010-10-01 09:48:11+00:00
200,"Mahfud MD VS Komisi III DPR Jelaskan Transaksi Janggal Rp394 Triliun, Sri Mulyani Malah Tak Terlihat Batang Hidungnya https://t.co/MbZOXpmuTK",2023-03-29 13:15:02+00:00
201,@txtdrpemerintah Mahfud md full item lv max vs dpr full squad,2023-03-29 15:30:23+00:00
202,TOP NEWS: Anggota DPR Vs Mahfud MD Memanas| Nasib Polwan Cantik Doyang 'Flexing' https://t.co/MZS2S7Gpeb,2023-03-29 02:58:08+00:00
203,"VIDEO: Mahfud MD vs DPR Memanas: Jangan Main Gertak, Saya Juga Bisa Gertak Balik! https://t.co/KZ38liDo1s",2023-03-30 06:33:12+00:00
204,TOP NEWS: Anggota DPR Vs Mahfud MD Memanas| Nasib Polwan Cantik Doyang 'Flexing' https://t.co/tEDmm35z5F,2023-03-29 03:04:42+00:00
205,"PROF. MAHFUD MD vs PARA POLIYO SENAYAN. Simak podcast Padasuka TV menganalisis respon Menko Polhukan thd ancaman Benny K Harman, Arteria Dahlan, dan Arsul Sani (Komisi III DPR) Soal laporan PPATK ttg Transaksi 349T. 
👇👇👇👇👇
https://t.co/sbLgMvEdVE",2023-03-27 08:21:42+00:00
206,"https://t.co/kNpSfAQki2

*Pertandingan Besar dimulai! Mahfud&amp;SMI VS DPR*

*_siapa yg sekarang sutris dan ketar ketir!??_*",2023-03-26 00:40:41+00:00
207,"Debat Panas Mahfud MD vs Anggota Komisi III DPR soal “Markus”

https://t.co/zl4r9F8zjd

#makelarkasus #MahfudMD #komisi3dpr #tppu",2023-03-30 08:02:31+00:00
208,https://t.co/9nNyXQftSP,2023-03-30 11:45:43+00:00
209,"@detikcom https://t.co/kNpSfAQki2

*Pertandingan Besar dimulai! Mahfud&amp;SMI VS DPR*

*_siapa yg sekarang sutris dan ketar ketir!??_*",2023-03-26 00:43:02+00:00
210,"| Jangan lupa.... sehebat-hebatnya suatu sistem bila gak legowo ""membentuk"" Orang Buta jadi Presiden atau Menteri Keuangan ""sengkleh"" seperti di Inggris...
Pokoke, membuat Orang Pedok kaya-raya, Pak... yang waras ngontrak. https://t.co/Z41APHm3nD",2023-03-31 09:33:28+00:00
