,full_text,created_at,full_tweet,tweet_tokens
17,Mahfud MD vs Komisi III DPR soal 349 triliun https://t.co/qPBLukq49o,2023-03-29 13:10:49+00:00,mahfud md vs komisi iii dpr soal triliun,"['mahfud', 'mahfud', 'versus', 'komisi', 'iii', 'drp', 'triliun']"
18,"Dewan yg terhormat bukannya senang &amp; mendukung temuan PPATK utk ditindak-lanjuti .. ini malah dibuat gonjang-ganjing membagongkan !!! 

Mahfud MD vs Komisi III DPR Soal Transaksi Siluman Rp 349 T Kemenkeu, Siapa Keok ??

https://t.co/lztxzKd5Qr https://t.co/zpBlB8ReQj",2023-03-27 05:46:30+00:00,dewan yg terhormat bukannya senang amp mendukung temuan ppatk utk ditindaklanjuti ini malah dibuat gonjangganjing membagongkan mahfud md vs komisi iii dpr soal transaksi siluman rp  kemenkeu siapa keok,"['dewan', 'hormat', 'senang', 'dukung', 'temu', 'ppatk', 'ditindaklanjuti', 'gonjangganjing', 'bagong', 'mahfud', 'mahfud', 'versus', 'komisi', 'iii', 'drp', 'transaksi', 'siluman', 'rupiah', 'kemenkeu', 'keok']"
19,"I'm not into politic, But Sir Mahfud MD 1 vs Squad (DPR) is kinda crazy",2023-03-29 14:37:56+00:00,im not into politic but sir mahfud md vs squad dpr is kinda crazy,"['im', 'not', 'into', 'politic', 'but', 'sir', 'mahfud', 'mahfud', 'versus', 'squad', 'drp', 'is', 'kinda', 'crazy']"
20,"Pembantaian, Mutilasi, Premanisme, Arogansi, Korupsi, Pembunuhan, Drugs, Dead Penalty, Gratifikasi.

Masih belum cukup juga,
Cancel Fifa, Atlit Mental Medsos, Jualan Kesedihan, Mahfud Md vs DPR… 

Memang butuh mental yang kuat buat hidup disini.",2023-04-01 06:15:59+00:00,pembantaian mutilasi premanisme arogansi korupsi pembunuhan drugs dead penalty gratifikasi masih belum cukup juga cancel fifa atlit mental medsos jualan kesedihan mahfud md vs dpr memang butuh mental yang kuat buat hidup disini,"['bantai', 'mutilasi', 'preman', 'arogansi', 'korupsi', 'bunuh', 'drugs', 'dead', 'penalty', 'gratifikasi', 'cancel', 'fifa', 'atlit', 'mental', 'medsos', 'jual', 'sedih', 'mahfud', 'mahfud', 'versus', 'drp', 'butuh', 'mental', 'kuat', 'hidup']"
21,,2009-09-05 09:13:06+00:00,nan,[]
22,,2017-05-12 16:49:54+00:00,nan,[]
23,,2022-04-14 17:05:09+00:00,nan,[]
24,,2010-03-23 17:15:48+00:00,nan,[]
25,,2017-09-24 13:06:06+00:00,nan,[]
26,,2020-06-11 07:25:44+00:00,nan,[]
27,,2018-08-27 06:48:58+00:00,nan,[]
28,,2019-09-01 10:06:54+00:00,nan,[]
29,,2023-03-18 13:07:04+00:00,nan,[]
30,,2021-06-16 04:49:01+00:00,nan,[]
31,,2016-11-16 06:12:03+00:00,nan,[]
32,,2012-01-06 07:14:25+00:00,nan,[]
33,,2017-07-19 18:38:59+00:00,nan,[]
34,,2020-12-19 05:54:12+00:00,nan,[]
